title,author,short_author,date,genre,tt,publisher,pubplace,extent,editor,pubdate,createdate,authordates,keywords,language,collection,gender,sourcenote,period,shrtcite,filename,filesize,philodocid
La belle aux cheveux d' or," d'Aulnoy, Madame ",Aulnoy ,1830,contesdefées,prose,Baudot,Troyes,,,[entre 1830-1848],[entre 1830-1848],,,French,La belle aux cheveux d' or,F,,,Bbl159,Bbl159.tei,35761,196
Maître Pierre,"About, Edmond, 1828-1885.",About,1858,memoires,prose,,,,,1858,,,,Français,,M,,,RRN002,RRN002.tei,411734,751
La Grèce contemporaine,"About, Edmond, 1828-1885.",About,1854,recitvoyage,prose,"Paris, Hachette, 1858.",,,,1858,1854,,,,,M,,,TLF,TLF.1106.tei,630486,705
Tolla,"About, Edmond, 1828-1885.",About,1855,roman,prose,,,,,1855,,,,Français,,M,,,RRN003,RRN003.tei,432398,717
Le roi des montagnes,"About, Edmond, 1828-1885.",About,1857,roman,prose,"Paris, L. Hachette et Cie, 1857.",,,,1857,1857,,,,,M,,,TLF,TLF.1122.tei,444701,737
Germaine,"About, Edmond, 1828-1885.",About,1857,roman,prose,,,,,1857,,,,Français,,M,,,RRN001,RRN001.tei,425320,738
Le nez d'un notaire,"About, Edmond, 1828-1885.",About,1862,roman,prose,"Paris, Calmann-Levy, 1888.",,,,1888,1862,,,,,M,,,TLF,TLF.1153.tei,180296,813
[L' ]Homme à l' oreille cassée,"About, Edmond, 1828-1885.",About,1862,roman,prose,,,,,1862,,,,Français,,M,,,RRN004,RRN004.tei,338990,814
[Le] Mari imprévu,"About, Edmond, 1828-1885.",About,1863,roman,prose,,,,,1863,,,,Français,,M,,,RRN006,RRN006.tei,447404,825
[Les] Vacances de la Comtesse,"About, Edmond, 1828-1885.",About,1864,roman,prose,,,,,1864,,,,Français,,M,,,RRN0010,RRN0010.tei,527143,840
[L' ]Infâme,"About, Edmond, 1828-1885.",About,1867,roman,prose,,,,,1867,,,,Français,,M,,,RRN005,RRN005.tei,431425,878
Soi,"Adam, Paul, 1862-1920.",Adam,1886,indefini,prose,,,,,1886,,,,Français,,M,,,RRN0011,RRN0011.tei,509591,1120
[Le] P' tit,"Ajalbert, Jean, 1863-1947.",Ajalbert,1888,indefini,prose,,,,,1888,,,,Français,,M,,,RRN0013,RRN0013.tei,87704,1150
En amour,"Ajalbert, Jean, 1863-1947.",Ajalbert,1890,indefini,prose,,,,,1890,,,,Français,,M,,,RRN0012,RRN0012.tei,247541,1178
Théorie de la connaisance des StoÏciens,"Alain, 1868-1951.",Alain,1891,traite,prose,Les Presses universitaires de France,Paris,,,1964,1891,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Alain_Theorie_con_Stoiciens.tei,100104,1203
L'accord pour la vie ,"Alain, 1868-1951.",Alain,1895,traite,prose,Le Nouvelliste,Paris,,,1895,1895,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Accord_pour_la_vie.tei,15788,1256
Sur la mémoire ,"Alain, 1868-1951.",Alain,1899,traite,prose,Revue de Métaphysique et de Morale,Paris,,,1899,1899,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.Alain_sur_la_Memoire.tei,134793,1308
Valeur morale de la joie d'après Spinoza ,"Alain, 1868-1951.",Alain,1899,traite,prose,Revue de Métaphysique et de Morale,Paris,,,1899,1899,,,,,M,Pagination does not correspond to the original edition.,,CSS,CSS.valeur_morale_joie_Spinoza.tei,16441,1309
Madame Meuriot,"Alexis, Paul, 1847-1901.",Alexis,1891,indefini,prose,,,,,1891,,,,Français,,M,,,RRN0014,RRN0014.tei,754670,1204
Journal de l'annee 1866,"Amiel, Henri Frédéric, 1821-1881.",Amiel,1866,memoires,prose,"Ed. L. Bopp. Paris, Gallimard, 1959.",,,,1959,1866,,,,,M,,,TLF,TLF.1176.tei,1568544,868
"Correspondance, 1863","Ampère, André-Marie, 1775-1836 and Ampère, J.-J. (Jean Jacques), 1800-1864.",AmpèreAMAmpèreJJ,1863,correspondance,prose,"In Ampere (A.M.), Ampere (J.J.). Corresp. et Souv. Paris, Hetzel, 1875.",,,,1875,1863,,,,,M,,,TLF,TLF.1156.tei,185493,826
Correspondance,"Ampère, André-Marie, 1775-1836.",AmpèreAM,1827,correspondance,prose,"In Ampere (A.M.), Ampere (J.J.). Corresp. et Souv. Paris, Hetzel, 1875.",,,,1875,1827,,,,,M,,,TLF,TLF.908.tei,333474,163
Code civil des Français,Anonymous,Anonymous,1804,traiteessai,prose,"Paris, Impr. de la Republique, An XII-1804.",,,,1804,1804,,,,,U,,,TLF,TLF.852.tei,723106,31
Article Espèce,Anonymous,Anonymous,1817,traiteessai,prose,"In Nouv. Dict. d'Hist. Natur. T.10, Paris, Deterville, 1817.",,,,1817,1817,,,,,U,,,TLF,TLF.876.tei,77970,89
Histoire de Napoléon,"Ardant, Louis",Ardant,1835,essai,prose,Ve André et Anner,Troyes,,,1835,1835,,,French,Histoire de Napoléon,M,,,Bbl1595,bbl_1595.tei,626494,285
Le Solitaire,"Arlincourt, Charles d', 1788-1856.",Arlincourt,1820,roman,prose,,,,,1820,,,,Français,,M,,,ROM002,ROM002.tei,418776,100
Le Renégat,"Arlincourt, Charles d', 1788-1856.",Arlincourt,1822,roman,prose,,,,,1822,,,,Français,,M,,,ROM001,ROM001.tei,584668,117
"L'esprit public au XVIIIe siècle. Etude sur les mémoires et les correspondances politiques des contemporains, 1715-1789","Aubertin, Charles, 1825-??.",Aubertin,1873,traite,prose,,Paris,,,,1873,,,,,M,Pagination does not correspond to the original edition.,,AubertinEspritPublic18e,CSS.aubertin_esprit_public_18e.tei,960804,950
Danton,"Aulard, Alphonse, 1849-1928.",Aulard,1884,indefini,prose,"Texte de l' édition Picard-Bernheim et Cie, Paris, 1887",,,,1884,,,,Français,,M,,,Aulard,Aulard.0.tei,99609,1082
Essai sur les institutions sociales,"Ballanche, Pierre-Simon",Ballanche,1818,indefini,prose,,,,,1818,,,,,,M,,,CP-7,CP-7.tei,514837,94
Falthurne,"Balzac, Honoré de, 1799-1850.",Balzac,1820,conte,prose,,,,,1820,,,,Français,,M,,,RRN0028,RRN0028.tei,90993,102
Correspondance. T. 1-4,"Balzac, Honoré de, 1799-1850.",Balzac,1832,correspondance,prose,"Ed. R. Pierrot. Paris, Garnier, 1960-1966.",,,,1960,1832,,,,,M,,,TLF,TLF.934.tei,561224,220
Correspondance T. 2,"Balzac, Honoré de, 1799-1850.",Balzac,1835,correspondance,prose,"Ed. R. Pierrot. Paris, Garnier, 1960-1966.",,,,1960,1835,,,,,M,,,TLF,TLF.974.tei,580450,286
"Correspondance, T. 3","Balzac, Honoré de, 1799-1850.",Balzac,1839,correspondance,prose,"Ed. R. Pierrot. Paris, Garnier, 1960-1966.",,,,1960,1839,,,,,M,,,TLF,TLF.1019.tei,484452,366
Correspondance. T. 1-4,"Balzac, Honoré de, 1799-1850.",Balzac,1845,correspondance,prose,"Ed. R. Pierrot. Paris, Garnier, 1960-1966.",,,,1960,1845,,,,,M,,,TLF,TLF.1056.tei,407932,512
Physiologie du mariage,"Balzac, Honoré de, 1799-1850.",Balzac,1846,essai,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.physiologie.tei,698055,561
Petites misères de la vie conjugale,"Balzac, Honoré de, 1799-1850.",Balzac,1854,essai,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1854,,,,French,,M,,,BAL,BAL.conjugale.tei,350268,708
Jean-Louis,"Balzac, Honoré de, 1799-1850.",Balzac,1822,indefini,prose,,,,,1822,,,,Français,,M,,,RRN0036,RRN0036.tei,622384,121
Avant-propos,"Balzac, Honoré de, 1799-1850.",Balzac,1842,indefini,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.avant_propos.tei,34989,417
Esquisse d'homme d'affaires d'après nature,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.affaires.tei,44561,541
Gambara,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.gambara.tei,142905,542
Gaudissart II,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.gaudis2.tei,24792,543
Jésus-Christ en Flandre,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.jesus.tei,41681,544
L'Auberge rouge,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.auberge.tei,81982,545
L'Élixir de longue vie,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.elixir.tei,57473,549
Le Chef-d'oeuvre inconnu,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.inconnu.tei,62717,552
Les Marana,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.marana.tei,140487,555
Massimilla Doni,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.massimila.tei,187588,559
Melmoth réconcilié,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.melmoth.tei,107324,560
Un drame au bord de la mer,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.mer.tei,46848,567
Un prince de la bohème,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.boheme.tei,78708,568
Un épisode sous la Terreur,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.terreur.tei,43750,569
Z. Marcas,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.marcas.tei,62671,571
Autre étude de femme,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.auetufem.tei,91412,416
La Femme abandonnée,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.abandonnee.tei,99961,424
La Femme de trente ans,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.femtren.tei,422764,425
La Grenadière,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.grenadiere.tei,57490,426
La Maison du chat-qui-pelote,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.chat_pelote.tei,134318,427
Le Message,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.message.tei,32493,432
Le Réquisitionnaire,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.requisitionnaire.tei,37835,433
Les Secrets de la princesse de Cadignan,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.cadignan.tei,134516,439
Madame Firmiani,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.firmiani.tei,49728,441
Pierre Grassou,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.grassou.tei,49916,444
Étude de femme,"Balzac, Honoré de, 1799-1850.",Balzac,1842,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.etufemme.tei,22482,448
Facino Cane,"Balzac, Honoré de, 1799-1850.",Balzac,1844,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.facino.tei,33622,485
La Messe de l'athée,"Balzac, Honoré de, 1799-1850.",Balzac,1844,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.athee.tei,42049,489
Sarrasine,"Balzac, Honoré de, 1799-1850.",Balzac,1844,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.sarrasine.tei,82131,494
Un prince de la bohème,"Balzac, Honoré de, 1799-1850.",Balzac,1844,nouvelle,prose,,,,,1844,,,,Français,,M,,,RRN0056,RRN0056.tei,79396,495
La Grande Bretèche (Fin de Autre étude de femme),"Balzac, Honoré de, 1799-1850.",Balzac,1845,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.breteche.tei,49074,513
Maître Cornélius,"Balzac, Honoré de, 1799-1850.",Balzac,1845,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.cornelius.tei,139953,516
Une passion dans le désert,"Balzac, Honoré de, 1799-1850.",Balzac,1845,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.desert.tei,34560,520
Adieu,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.adieu.tei,100442,539
El Verdugo,"Balzac, Honoré de, 1799-1850.",Balzac,1846,nouvelle,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.verdugo.tei,25459,540
Agathise,"Balzac, Honoré de, 1799-1850.",Balzac,1820,roman,prose,,,,,1820,,,,Français,,M,,,RRN0017,RRN0017.tei,151905,101
Sténie,"Balzac, Honoré de, 1799-1850.",Balzac,1821,roman,prose,,,,,1821,,,,Français,,M,,,RRN0051,RRN0051.tei,318753,111
[Le] Centenaire,"Balzac, Honoré de, 1799-1850.",Balzac,1822,roman,prose,,,,,1822,,,,Français,,M,,,RRN0093,RRN0093.tei,565653,118
[Le] Vicaire des Ardennes,"Balzac, Honoré de, 1799-1850.",Balzac,1822,roman,prose,,,,,1822,,,,Français,,M,,,RRN00106,RRN00106.tei,766722,119
Clotilde de Lusignan,"Balzac, Honoré de, 1799-1850.",Balzac,1822,roman,prose,,,,,1822,,,,Français,,M,,,RRN0023,RRN0023.tei,775675,120
[La] Dernière fée,"Balzac, Honoré de, 1799-1850.",Balzac,1823,roman,prose,,,,,1823,,,,Français,,M,,,RRN0074,RRN0074.tei,308384,130
Annette et le criminel,"Balzac, Honoré de, 1799-1850.",Balzac,1824,roman,prose,"Paris, les Bibliophiles de L'Originale, 1963.",,,,1963,1824,,,,,M,,,TLF,TLF.891.tei,753986,137
Wann-Chlore,"Balzac, Honoré de, 1799-1850.",Balzac,1825,roman,prose,,,,,1825,,,,Français,,M,,,RRN0063,RRN0063.tei,743916,148
[Les] Martyrs ignorés,"Balzac, Honoré de, 1799-1850.",Balzac,1837,roman,prose,,,,,1837,,,,Français,,M,,,RRN00111,RRN00111.tei,84464,331
Albert Savarus,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.savarus.tei,256646,415
Béatrix (Dernière partie),"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.beatrix2.tei,236678,418
Béatrix (Première et deuxième parties),"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.beatrix1.tei,495032,419
Gobseck,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.gobseck.tei,129345,420
Honorine,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.honorine.tei,178033,421
La Bourse,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.bourse.tei,75148,422
La Fausse Maîtresse,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.fmaitresse.tei,117295,423
La Paix du ménage,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.paix_menage.tei,84424,428
La Vendetta,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.vendetta.tei,160957,429
Le Bal de Sceaux,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.bal_sceaux.tei,138512,430
Le Contrat de mariage,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.contrat.tei,303349,431
Les Célibataires - Le Curé de Tours,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.tours.tei,159233,434
Les Célibataires - Un ménage de garçon (La Rabouilleuse),"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.mgarcon.tei,649782,435
Les Employés ou la Femme supérieure,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.employes.tei,510204,436
Les Parisiens en province - La Muse du département,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.muse.tei,389736,437
Les Parisiens en province -  L'Illustre Gaudissart,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.gaudissart.tei,90801,438
Louis Lambert,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.lambert.tei,250788,440
Modeste Mignon,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.mignon.tei,570879,442
Mémoires de deux jeunes mariées,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.memoires.tei,473669,443
Sur Catherine de Médicis - Troisième partie,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.medicis3.tei,35620,445
Une double famille,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.double_famille.tei,165751,446
Une fille d'ève,"Balzac, Honoré de, 1799-1850.",Balzac,1842,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1842,,,,French,,M,,,BAL,BAL.eve.tei,268709,447
Eugénie Grande,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.grandet.tei,407057,461
"Histoire des Treize - Ferragus, chef des Dévorants","Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.ferragus.tei,278552,462
Histoire des Treize - La Duchesse de Langeais,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.langeais.tei,335644,463
Histoire des Treize - La Fille aux yeux d'or,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.yeux_or.tei,183434,464
Illusions perdues - Deuxième partie,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.illusions2.tei,701652,465
Illusions perdues - Première partie,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.illusions1.tei,310946,466
Illusions perdues - Troisième partie,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.illusions3.tei,447498,467
Le Père Goriot,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.goriot.tei,576852,468
Les Célibataires - Pierrette,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.pierrette.tei,325543,469
Ursule Mirouët,"Balzac, Honoré de, 1799-1850.",Balzac,1843,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1843,,,,French,,M,,,BAL,BAL.mirouet.tei,517576,470
Histoire de la grandeur et de la décadence de César Birotteau,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.cesar.tei,653451,486
L'Interdiction,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.interdiction.tei,174212,487
La Maison Nucingen,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.nucingen.tei,154584,488
Le Colonel Chabert,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.chabert.tei,149836,490
Le Lys dans la vallée,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.lys.tei,635454,491
Les Rivalités - La Vieille Fille,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.vfille.tei,308410,492
Les Rivalités - Le Cabinet des Antiques,"Balzac, Honoré de, 1799-1850.",Balzac,1844,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1844,,,,French,,M,,,BAL,BAL.antiques.tei,319159,493
Le Curé de village,"Balzac, Honoré de, 1799-1850.",Balzac,1845,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.cure.tei,564414,514
"Les Chouans, ou la Bretagne en 1799","Balzac, Honoré de, 1799-1850.",Balzac,1845,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.chouans.tei,727188,515
Splendeurs et misères des courtisanes - Deuxième partie,"Balzac, Honoré de, 1799-1850.",Balzac,1845,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.splendeurs2.tei,298133,517
Splendeurs et misères des courtisanes - Première partie,"Balzac, Honoré de, 1799-1850.",Balzac,1845,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.splendeurs1.tei,337620,518
Un début dans la vie,"Balzac, Honoré de, 1799-1850.",Balzac,1845,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1845,,,,French,,M,,,BAL,BAL.debutvie.tei,363164,519
L'Enfant maudit,"Balzac, Honoré de, 1799-1850.",Balzac,1846,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.maudit.tei,231568,546
L'Envers de l'histoire contemporaine - Deuxième partie,"Balzac, Honoré de, 1799-1850.",Balzac,1846,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.envers2.tei,218238,547
L'Envers de l'histoire contemporaine - Première partie,"Balzac, Honoré de, 1799-1850.",Balzac,1846,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.envers1.tei,246014,548
La Peau de chagrin,"Balzac, Honoré de, 1799-1850.",Balzac,1846,roman,prose,"Furne, Dubochet et Cie, Hetzel et Paulin",Paris,,,1846,,,,French,,M,,,BAL,BAL.chagrin.tei,573608,550
